surname,team_name,position,cost,goal_points,assist_points,clean_points,conceded_points,defcon_points,appearance_points,bonus_points,xPoints
Evanilson,Bournemouth,FWD,60,42.56,4.4399999999999995,0.0,-0.0,0.12979337815467953,66.0,6.0,119.12979337815469
Dunk,Brighton,DEF,45,10.98,1.6800000000000002,29.86315789473684,-5.80672514619883,12.878509363347362,64.0,5.0,118.59494211188537
Hill,Bournemouth,DEF,55,5.34,3.4799999999999995,27.04327485380117,-5.531578947368421,31.467788560523786,52.0,4.0,117.79948446695654
Calafiori,Arsenal,DEF,55,20.16,2.2800000000000002,43.66549707602339,-1.48859649122807,1.856152820131837,45.0,6.0,117.47305340492717
Aaronson,Leeds,MID,55,22.650000000000002,10.8,7.876900584795322,-0.0,5.850152728344895,65.0,5.0,117.17705331314022
Chalobah,Chelsea,DEF,55,8.64,3.09,19.50877192982456,-7.315789473684211,22.074827095661217,64.0,7.0,116.99780955180157
Ekitiké,Liverpool,FWD,75,40.4,7.3500000000000005,0.0,-0.0,0.0612980029229558,47.0,22.0,116.81129800292295
Mac Allister,Liverpool,MID,55,19.45,5.07,11.640350877192983,-0.0,5.647280432455877,66.0,9.0,116.80763130964885
Muñoz,Crystal Palace,DEF,55,14.700000000000001,11.82,19.649122807017545,-4.912280701754386,11.023542143337426,55.0,9.0,116.28038424860058
Ballard,Sunderland,DEF,50,14.76,1.8900000000000001,12.538011695906432,-5.015204678362573,31.842272574780676,51.0,9.0,116.01507959232454
Hincapie,Arsenal,DEF,55,2.16,5.01,45.981286549707605,-1.5675438596491227,14.361201189257713,43.0,7.0,115.9449438793162
Damsgaard,Brentford,MID,55,13.049999999999999,16.29,5.38421052631579,-0.0,16.969917683762326,55.0,9.0,115.6941282100781
Gudmundsson,Leeds,DEF,45,6.6000000000000005,8.67,33.92631578947369,-7.710526315789474,6.125715114532098,60.0,8.0,115.61150458821632
O'Brien,Everton,DEF,50,10.02,3.0,25.52748538011696,-8.205263157894738,9.525079620942295,73.0,2.0,114.86730184316451
Amad,Man Utd,MID,60,27.3,14.22,6.155263157894736,-0.0,4.489670753472666,55.0,7.0,114.1649339113674
Cash,Aston Villa,DEF,45,6.84,8.82,21.164912280701756,-2.6456140350877195,3.7822939289079676,68.0,7.0,112.961592174522
Yarmoliuk,Brentford,MID,50,6.1,4.17,6.978947368421053,-0.0,28.095118530386337,66.0,1.0,112.34406589880739
Hume,Sunderland,DEF,45,13.620000000000001,6.1499999999999995,17.730994152046783,-7.092397660818714,5.774701195593098,70.0,6.0,112.18329768682116
Barnes,Newcastle,MID,60,34.2,8.16,5.134210526315789,-0.0,0.12690991634018434,55.0,9.0,111.62112044265598
Minteh,Brighton,MID,60,19.05,15.18,6.286842105263158,-0.0,2.759633113261273,59.0,9.0,111.27647521852444
Richarlison,Spurs,FWD,60,34.56,4.38,0.0,-0.0,1.8958820676695662,51.0,17.0,108.83588206766957
