code,web_name,first_name,second_name,position,team,cost,status,chance_of_playing_next_round,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,xG,xAG,s90,team_name,old_team_name,s90_hist,cbit,recoveries,defcon_multiplier,is_mover,expected_defcon_points,xClean,xPoints
200834,Mukiele,Nordi,Mukiele,DEF,20,55,a,,,,,1.62,2.65,30.933333333333334,Sunderland,Sunderland,30.933333333333334,273.0,131.0,1.0,False,24.103526201245753,7.765504479579292,67.05909868212149
440993,Ndiaye,Iliman,Ndiaye,MID,9,60,a,,1.0,,,6.68,4.41,30.9,Everton,Everton,30.9,105.0,178.0,1.0,False,13.141279191250756,7.837359265165153,66.14428975160874
244851,Palmer,Cole,Palmer,MID,6,95,a,,1.0,3.0,,10.55,2.49,21.711111111111112,Chelsea,Chelsea,21.711111111111112,52.0,83.0,1.0,False,1.1057340002895897,8.232687211215962,66.02943891570362
475168,João Pedro,João Pedro,Junqueira de Jesus,FWD,6,75,a,,,,,14.91,1.96,29.533333333333335,Chelsea,Chelsea,29.533333333333335,66.0,72.0,1.0,False,0.19127651302914422,8.232687211215962,65.71127651302913
177815,Calvert-Lewin,Dominic,Calvert-Lewin,FWD,13,60,a,,1.0,,,15.57,1.06,30.233333333333334,Leeds,Leeds,30.233333333333334,59.0,46.0,1.0,False,0.01631540151996755,8.629769008873161,65.47631540151997
462424,Saliba,William,Saliba,DEF,1,60,i,0.0,,,,0.88,1.21,29.044444444444444,Arsenal,Arsenal,29.044444444444444,193.0,113.0,1.0,False,7.865318917201319,15.890859257734549,65.35860090517572
178301,Watkins,Ollie,Watkins,FWD,2,80,a,,2.0,,,15.4,1.18,31.477777777777778,Aston Villa,Aston Villa,31.477777777777778,45.0,49.0,1.0,False,0.004306174020778449,8.550649221096654,65.14430617402078
199598,Ampadu,Ethan,Ampadu,MID,13,55,a,,,,,2.47,2.2,34.65555555555556,Leeds,Leeds,34.65555555555556,232.0,184.0,1.0,False,37.34778028704101,8.629769008873161,64.16802869016247
232185,Sarr,Ismaïla,Sarr,MID,8,65,a,,2.0,,,10.93,1.17,24.144444444444446,Crystal Palace,Crystal Palace,24.144444444444446,58.0,79.0,1.0,False,0.6614088039289345,7.824994251799617,63.79325456684138
243298,Gakpo,Cody,Gakpo,MID,14,70,a,,3.0,,5.0,8.35,4.67,30.4,Liverpool,Liverpool,30.4,65.0,87.0,1.0,False,0.3315479883109688,9.206912685583777,63.45707813677799
231747,Mateta,Jean-Philippe,Mateta,FWD,8,65,a,,1.0,,,14.42,1.32,24.555555555555557,Crystal Palace,Crystal Palace,24.555555555555557,68.0,57.0,1.0,False,0.30647871655020476,7.824994251799617,61.9464787165502
215136,N.Williams,Neco,Williams,DEF,18,50,a,,,3.0,5.0,2.01,3.97,35.58888888888889,Nott'm Forest,Nott'm Forest,35.58888888888889,247.0,164.0,1.0,False,11.638208287928837,6.91644527595093,61.518587491286524
214225,Rodon,Joe,Rodon,DEF,13,45,a,,,,,1.4,0.56,32.8,Leeds,Leeds,32.8,274.0,85.0,1.0,False,21.524095466497183,8.629769008873161,61.39950846555399
463981,Hill,James,Hill,DEF,3,55,a,,,,,0.89,1.16,23.355555555555554,Bournemouth,Bournemouth,23.355555555555554,260.0,74.0,1.0,False,31.467788560523786,8.530421646629756,61.259655579489575
533463,O.Dango,Dango,Ouattara,MID,4,65,a,,,,8.0,7.94,4.12,25.233333333333334,Brentford,Brentford,25.233333333333334,100.0,85.0,1.0,False,3.521103433806544,8.020973864032173,60.907311517203354
208706,Bruno G.,Bruno,Guimarães Rodriguez Moura,MID,17,70,a,,3.0,2.0,6.0,5.59,4.96,27.288888888888888,Newcastle,Newcastle,27.288888888888888,117.0,134.0,1.0,False,11.821612501106397,8.410057112543342,60.69111550356442
180736,Chalobah,Trevoh,Chalobah,DEF,6,55,a,,,,,1.44,1.03,30.88888888888889,Chelsea,Chelsea,30.88888888888889,265.0,119.0,1.0,False,22.074827095661217,8.232687211215962,60.57309662452715
247348,Muñoz,Daniel,Muñoz Mejía,DEF,8,55,a,,,,,2.45,3.94,26.666666666666668,Crystal Palace,Crystal Palace,26.666666666666668,196.0,97.0,1.0,False,11.023542143337426,7.824994251799617,59.50843828873987
