Player,npxG,matched_name,score,first_name,second_name,element_type,now_cost
Keane Lewis-Potter,6.3,keane lewis-potter,100,Keane,Lewis-Potter,MID,50
Sean Longstaff,6.6,sean longstaff,100,Sean,Longstaff,MID,50
Alexis Mac Allister,2.9,alexis mac allister,100,Alexis,Mac Allister,MID,65
James Maddison,6.4,james maddison,100,James,Maddison,MID,75
Noni Madueke,1.7,noni madueke,100,Noni,Madueke,MID,65
Harry Maguire,2,harry maguire,100,Harry,Maguire,DEF,50
Solly March,2,solly march,100,Solly,March,MID,65
Pape Matar Sarr,3.4,pape matar sarr,100,Pape Matar,Sarr,MID,50
Jean-Philippe Mateta,9.4,jean-philippe mateta,100,Jean-Philippe,Mateta,FWD,75
Neal Maupay,5.7,neal maupay,100,Neal,Maupay,FWD,50
Neal Maupay,1.4,neal maupay,100,Neal,Maupay,FWD,50
Konstantinos Mavropanos,1.2,konstantinos mavropanos,100,Konstantinos,Mavropanos,DEF,45
Bryan Mbeumo,7.4,bryan mbeumo,100,Bryan,Mbeumo,MID,70
John McGinn,5,john mcginn,100,John,McGinn,MID,55
Dwight McNeil,3.4,dwight mcneil,100,Dwight,McNeil,MID,55
Scott McTominay,5.7,scott mctominay,100,Scott,McTominay,MID,50
Ben Mee,1.5,ben mee,100,Ben,Mee,DEF,45
Lewis Miley,1.2,lewis miley,100,Lewis,Miley,MID,50
Tyrick Mitchell,1.6,tyrick mitchell,100,Tyrick,Mitchell,DEF,50
Kaoru Mitoma,3.5,mitoma kaoru,100,Mitoma,Kaoru,MID,65
Mykhailo Mudryk,4.4,mykhailo mudryk,100,Mykhailo,Mudryk,MID,65
Jacob Murphy,2.1,jacob murphy,100,Jacob,Murphy,MID,55
Eddie Nketiah,4.5,eddie nketiah,100,Eddie,Nketiah,FWD,60
Christopher Nkunku,2.3,christopher nkunku,100,Christopher,Nkunku,MID,65
Amadou Onana,2,amadou onana,100,Amadou,Onana,MID,50
Frank Onyeka,2.2,frank onyeka,100,Frank,Onyeka,MID,50
Dango Ouattara,2.6,dango ouattara,100,Dango,Ouattara,MID,50
Cole Palmer,11.1,cole palmer,100,Cole,Palmer,MID,105
Ethan Pinnock,2,ethan pinnock,100,Ethan,Pinnock,DEF,45
Pedro Porro,2.9,pedro porro,100,Pedro,Porro,DEF,55
Jarell Quansah,1,jarell quansah,100,Jarell,Quansah,DEF,45
Jacob Ramsey,2.2,jacob ramsey,100,Jacob,Ramsey,MID,55
Marcus Rashford,5.8,marcus rashford,100,Marcus,Rashford,MID,70
Tim Ream,1,tim ream,100,Tim,Ream,DEF,45
Declan Rice,3.3,declan rice,100,Declan,Rice,MID,65
Andrew Robertson,1.9,andrew robertson,100,Andrew,Robertson,DEF,60
Morgan Rogers,1.4,morgan rogers,100,Morgan,Rogers,MID,50
Cristian Romero,3.5,cristian romero,100,Cristian,Romero,DEF,50
Bukayo Saka,10.8,bukayo saka,100,Bukayo,Saka,MID,100
Mohamed Salah,15.5,mohamed salah,100,Mohamed,Salah,MID,125
William Saliba,1.6,william saliba,100,William,Saliba,DEF,60
Pablo Sarabia,3.9,pablo sarabia,100,Pablo,Sarabia,MID,55
Kevin Schade,1.2,kevin schade,100,Kevin,Schade,MID,55
Jeffrey Schlupp,1.8,jeffrey schlupp,100,Jeffrey,Schlupp,MID,50
Antoine Semenyo,4.6,antoine semenyo,100,Antoine,Semenyo,MID,55
Marcos Senesi,2,marcos senesi,100,Marcos,Senesi,DEF,50
Luis Sinisterra,2.5,luis sinisterra,100,Luis,Sinisterra,MID,50
Emile Smith Rowe,2,emile smith rowe,100,Emile,Smith Rowe,MID,55
Raheem Sterling,6.5,raheem sterling,100,Raheem,Sterling,MID,70
John Stones,1,john stones,100,John,Stones,DEF,55
Dominik Szoboszlai,3.7,dominik szoboszlai,100,Dominik,Szoboszlai,MID,65
James Tarkowski,2.6,james tarkowski,100,James,Tarkowski,DEF,50
Marcus Tavernier,3.9,marcus tavernier,100,Marcus,Tavernier,MID,55
Youri Tielemans,1.3,youri tielemans,100,Youri,Tielemans,MID,55
Harry Toffolo,1.6,harry toffolo,100,Harry,Toffolo,DEF,45
Takehiro Tomiyasu,1.5,tomiyasu takehiro,100,Tomiyasu,Takehiro,DEF,50
Ivan Toney,6,ivan toney,100,Ivan,Toney,FWD,75
Pau Torres,1,pau torres,100,Pau,Torres,DEF,45
Leandro Trossard,7.9,leandro trossard,100,Leandro,Trossard,MID,70
Destiny Udogie,2.4,destiny udogie,100,Destiny,Udogie,DEF,50
Virgil van Dijk,2.8,virgil van dijk,100,Virgil,van Dijk,DEF,60
James Ward-Prowse,4.4,james ward-prowse,100,James,Ward-Prowse,MID,65
Ollie Watkins,16.8,ollie watkins,100,Ollie,Watkins,FWD,90
Danny Welbeck,5.3,danny welbeck,100,Danny,Welbeck,FWD,55
Timo Werner,3.7,timo werner,100,Timo,Werner,MID,65
Callum Wilson,7.2,callum wilson,100,Callum,Wilson,FWD,70
Harry Wilson,3.4,harry wilson,100,Harry,Wilson,MID,55
Yoane Wissa,10.6,yoane wissa,100,Yoane,Wissa,FWD,60
Chris Wood,11.9,chris wood,100,Chris,Wood,FWD,60
Yehor Yarmoliuk,1,yehor yarmoliuk,100,Yehor,Yarmoliuk,MID,45
Ryan Yates,2.6,ryan yates,100,Ryan,Yates,MID,50
Illia Zabarnyi,1.1,illia zabarnyi,100,Illia,Zabarnyi,DEF,45
Kurt Zouma,1.8,kurt zouma,100,Kurt,Zouma,DEF,45
Beto,6,,,Beto,,FWD,50
Casemiro,3.5,,,Casemiro,,MID,50
Matheus Cunha,8.7,,,Matheus,Cunha,FWD,65
Diogo Jota,5.3,,,Diogo,Jota,MID,75
Murillo,1.8,,,Murillo,,DEF,45
Darwin NÃºÃ±ez,15.5,,,Darwin,Nunez,FWD,75
Lucas PaquetÃ¡,3.8,,,Lucas,Paqueta,MID,60
Rodri,4.1,,,Rodri,,MID,65
