Name,Club,npxG,xAG,xClean,90s,first_name,second_name,Position,Cost,xG,points_for_goal,points_for_clean,xPoints
Alejandro Garnacho,Manchester Utd,8.350000000000001,4.15,11.0,22.0,Alejandro,Garnacho,MID,61.0,8.350000000000001,5,1,60.56842105263159
James Garner,Everton,1.35,2.3,12.0,5.6,James,Garner,MID,49.0,1.35,5,1,15.418421052631578
Morgan Gibbs-White,Nott'ham Forest,5.05,7.1,15.0,25.8,Morgan,Gibbs-White,MID,63.0,7.925599999999999,5,1,71.11221052631579
JoÃ£o Gomes,Wolves,2.45,0.9500000000000001,7.0,33.8,Joe,Gomez,DEF,49.0,2.45,6,4,42.455263157894734
Anthony Gordon,Newcastle Utd,8.6,7.2,16.0,30.0,Anthony,Gordon,MID,73.0,8.6,5,1,77.23157894736842
Ryan Gravenberch,Liverpool,1.6,1.95,17.0,34.6,Ryan,Gravenberch,MID,50.0,1.6,5,1,29.328947368421055
Jack Grealish,Manchester City,1.75,2.95,19.0,12.8,Jack,Grealish,MID,64.0,1.75,5,1,24.0
Marc GuÃ©hi,Crystal Palace,1.6,0.8,7.0,36.0,Marc,Guéhi,DEF,45.0,1.6,6,4,38.526315789473685
Bruno GuimarÃ£es,Newcastle Utd,4.4,6.4,16.0,34.8,Bruno,Guimarães Rodriguez Moura,MID,61.0,4.4,5,1,55.85263157894737
Malo Gusto,Chelsea,1.95,2.8499999999999996,9.0,25.2,Malo,Gusto,DEF,49.0,1.95,6,4,44.123684210526314
JoÅ¡ko Gvardiol,Manchester City,3.95,2.2,19.0,35.0,Joško,Gvardiol,DEF,60.0,3.95,6,4,100.30000000000001
Erling Haaland,Manchester City,24.75,3.45,19.0,38.0,Erling,Haaland,FWD,148.0,29.5216,4,0,128.4364
Jack Harrison,Everton,4.0,3.5,12.0,20.8,Jack,Harrison,MID,52.0,4.0,5,1,37.06842105263158
Kai Havertz,Arsenal,13.6,4.5,22.0,32.8,Kai,Havertz,FWD,79.0,13.6,4,0,67.9
Jan Paul van Hecke,Brighton,1.2,1.25,6.0,29.8,Jan Paul,van Hecke,DEF,45.0,1.2,6,4,29.771052631578947
Hwang Hee-chan,Wolves,4.05,1.6,7.0,9.6,Hwang,Hee-chan,MID,61.0,4.05,5,1,26.818421052631578
Son Heung-min,Tottenham,8.9,11.7,10.0,26.8,Son,Heung-min,MID,98.0,13.671600000000002,5,1,110.51063157894737
Jack Hinshelwood,Brighton,1.65,0.6499999999999999,6.0,18.6,Jack,Hinshelwood,MID,49.0,1.65,5,1,13.136842105263158
Callum Hudson-Odoi,Nott'ham Forest,2.75,3.0999999999999996,15.0,29.2,Callum,Hudson-Odoi,MID,53.0,2.75,5,1,34.57631578947368
Rasmus HÃ¸jlund,Manchester Utd,5.699999999999999,1.8,11.0,17.8,Rasmus,Højlund,FWD,69.0,5.699999999999999,4,0,28.199999999999996
Danny Ings,West Ham,2.75,0.85,6.0,4.0,Danny,Ings,FWD,50.0,2.75,4,0,13.55
Alexander Isak,Newcastle Utd,17.3,4.75,16.0,28.6,Alexander,Isak,FWD,91.0,22.0716,4,0,102.5364
Alex Iwobi,Fulham,3.05,4.0,13.0,36.8,Alex,Iwobi,MID,58.0,3.05,5,1,39.839473684210525
Alex Iwobi,Fulham,3.05,4.0,13.0,36.8,Alex,Iwobi,MID,58.0,3.05,5,1,39.839473684210525
Alex Iwobi,Fulham,5.55,6.25,13.0,36.8,Alex,Iwobi,MID,58.0,5.55,5,1,59.089473684210525
Alex Iwobi,Fulham,5.55,6.25,13.0,36.8,Alex,Iwobi,MID,58.0,5.55,5,1,59.089473684210525
Nicolas Jackson,Chelsea,18.4,4.05,9.0,29.6,Nicolas,Jackson,FWD,83.0,18.4,4,0,85.75
Vitaly Janelt,Brentford,1.5,4.4,6.0,29.2,Vitaly,Janelt,MID,49.0,1.5,5,1,25.310526315789478
Gabriel Jesus,Arsenal,4.85,2.5,22.0,9.6,Gabriel,Fernando de Jesus,FWD,68.0,4.85,4,0,26.9
RaÃºl JimÃ©nez,Fulham,7.4,2.95,13.0,25.2,Raúl,Jiménez,FWD,55.0,7.4,4,0,38.45
JoÃ£o Pedro,Brighton,6.550000000000001,3.7,6.0,19.0,Pedro,Lomba Neto,MID,62.0,6.550000000000001,5,1,46.85
Joelinton,Newcastle Utd,4.15,2.7,16.0,31.4,John,Stones,DEF,53.0,4.15,6,4,85.8842105263158
Brennan Johnson,Tottenham,12.850000000000001,5.35,10.0,30.2,Brennan,Johnson,MID,65.0,12.850000000000001,5,1,88.24736842105263
Brennan Johnson,Tottenham,12.850000000000001,5.35,10.0,30.2,Brennan,Johnson,MID,65.0,12.850000000000001,5,1,88.24736842105263
Brennan Johnson,Tottenham,7.8500000000000005,1.4000000000000001,10.0,30.2,Brennan,Johnson,MID,65.0,7.8500000000000005,5,1,51.39736842105263
Brennan Johnson,Tottenham,7.8500000000000005,1.4000000000000001,10.0,30.2,Brennan,Johnson,MID,65.0,7.8500000000000005,5,1,51.39736842105263
Curtis Jones,Liverpool,4.2,0.6499999999999999,17.0,18.0,Curtis,Jones,MID,53.0,4.2,5,1,31.002631578947366
Diogo Jota,Liverpool,6.35,2.75,17.0,12.8,,,,,6.35,4,0,33.65
Max Kilman,West Ham,2.3,1.5,6.0,36.4,Max,Kilman,DEF,44.0,2.3,6,4,41.28947368421052
Justin Kluivert,Bournemouth,5.4,3.45,13.0,25.0,Justin,Kluivert,MID,55.0,5.4,5,1,45.90263157894737
Ibrahima KonatÃ©,Liverpool,1.15,0.4,17.0,21.6,Ibrahima,Konaté,DEF,51.0,1.15,6,4,46.75263157894737
Ezri Konsa,Aston Villa,1.85,0.35,16.0,30.2,Ezri,Konsa Ngoyo,DEF,44.0,1.85,6,4,63.01315789473685
Mateo KovaÄiÄ,Manchester City,1.75,2.7,19.0,25.8,Mateo,Kovačić,MID,54.0,1.75,5,1,29.75
Mohammed Kudus,West Ham,6.15,3.45,6.0,25.8,Mohammed,Kudus,MID,62.0,6.15,5,1,45.17368421052632
Dejan Kulusevski,Tottenham,5.35,8.45,10.0,33.4,Dejan,Kulusevski,MID,64.0,5.35,5,1,60.88947368421052
Mario Lemina,Wolves,3.6999999999999997,1.85,7.0,29.6,Mario,Lemina,MID,50.0,3.6999999999999997,5,1,29.50263157894737
Jefferson Lerma,Crystal Palace,1.9500000000000002,2.0,7.0,22.4,Jefferson,Lerma Solís,MID,48.0,1.9500000000000002,5,1,19.876315789473683
Rico Lewis,Manchester City,1.4000000000000001,0.8500000000000001,19.0,28.8,Rico,Lewis,DEF,46.0,1.4000000000000001,6,4,68.55
Keane Lewis-Potter,Brentford,4.55,1.9500000000000002,6.0,30.6,Keane,Lewis-Potter,MID,50.0,4.55,5,1,33.43157894736842
Sean Longstaff,Newcastle Utd,3.9,1.3499999999999999,16.0,15.8,Sean,Longstaff,MID,47.0,3.9,5,1,30.20263157894737
Alexis Mac Allister,Liverpool,2.45,4.5,17.0,27.4,Alexis,Mac Allister,MID,62.0,2.45,5,1,38.007894736842104
James Maddison,Tottenham,7.9,5.65,10.0,25.2,James,Maddison,MID,77.0,7.9,5,1,63.08157894736843
Noni Madueke,Chelsea,5.85,3.9000000000000004,9.0,23.0,Noni,Madueke,MID,63.0,5.85,5,1,46.39736842105263
Gabriel MagalhÃ£es,Arsenal,4.449999999999999,0.85,22.0,30.2,Gabriel,dos Santos Magalhães,DEF,63.0,4.449999999999999,6,4,99.18684210526315
Harry Maguire,Manchester Utd,1.1,0.7,11.0,14.0,Harry,Maguire,DEF,49.0,1.1,6,4,24.910526315789472
Orel Mangala,Everton,1.1,0.6,12.0,21.0,Orel,Mangala,MID,50.0,1.1,5,1,13.931578947368422
Solly March,Brighton,1.1,0.5,6.0,0.0,Solly,March,MID,65.0,1.1,5,1,7.0
Gabriel Martinelli,Arsenal,6.4,5.25,22.0,23.0,Gabriel,Martinelli Silva,MID,68.0,6.4,5,1,61.06578947368421
Lisandro MartÃ­nez,Manchester Utd,1.1,0.8500000000000001,11.0,29.6,Lisandro,Martínez,DEF,44.0,1.1,6,4,43.42368421052632
Pape Matar Sarr,Tottenham,3.7,2.3,10.0,22.2,Pape Matar,Sarr,MID,48.0,3.7,5,1,31.242105263157892
Jean-Philippe Mateta,Crystal Palace,9.2,3.55,7.0,31.6,Jean-Philippe,Mateta,FWD,72.0,12.0756,4,0,58.9524
Konstantinos Mavropanos,West Ham,1.5,0.5,6.0,26.2,Konstantinos,Mavropanos,DEF,44.0,1.5,6,4,27.04736842105263
Bryan Mbeumo,Brentford,7.0,5.8,6.0,35.8,Bryan,Mbeumo,MID,76.0,11.7716,5,1,81.91063157894736
James Mcatee,Manchester City,1.15,1.45,19.0,0.6,James,McAtee,MID,46.0,1.15,5,1,10.4
James Mcatee,Manchester City,0.0,0.0,19.0,0.6,James,McAtee,MID,46.0,0.0,5,1,0.3
John McGinn,Aston Villa,4.3,4.699999999999999,16.0,25.4,John,McGinn,MID,52.0,4.3,5,1,46.29473684210526
Dwight McNeil,Everton,2.6,7.9,12.0,25.4,Dwight,McNeil,MID,52.0,2.6,5,1,44.72105263157895
Scott McTominay,Manchester Utd,2.95,0.4,11.0,0.4,Scott,McTominay,MID,49.0,2.95,5,1,16.06578947368421
Tyrick Mitchell,Crystal Palace,1.1,4.9,7.0,36.8,Tyrick,Mitchell,DEF,48.0,1.1,6,4,48.41578947368421
Kaoru Mitoma,Brighton,5.75,4.85,6.0,33.6,Mitoma,Kaoru,MID,65.0,5.75,5,1,48.60526315789473
Mykhailo Mudryk,Chelsea,2.5,3.05,9.0,3.4,Mykhailo,Mudryk,MID,62.0,2.5,5,1,22.455263157894734
Rodrigo Muniz,Fulham,6.75,1.6,13.0,12.8,Rodrigo,Muniz Carvalho,FWD,55.0,9.6256,4,0,43.302400000000006
Daniel MuÃ±oz,Crystal Palace,4.0,3.0,7.0,34.0,Daniel,Muñoz,DEF,47.0,4.0,6,4,58.05263157894737
Murillo,Nott'ham Forest,1.9,1.5,15.0,35.4,,,,,1.9,4,0,12.1
Jacob Murphy,Newcastle Utd,3.3499999999999996,6.3,16.0,19.0,Jacob,Murphy,MID,50.0,3.3499999999999996,5,1,43.65
Vitaliy Mykolenko,Everton,1.05,0.8500000000000001,12.0,30.6,Vitalii,Mykolenko,DEF,43.0,1.05,6,4,47.50263157894737
Reiss Nelson,Arsenal,0.1,0.3,22.0,0.0,Reiss,Nelson,MID,50.0,0.1,5,1,1.4
Reiss Nelson,Fulham,1.2000000000000002,1.3,13.0,10.8,Reiss,Nelson,MID,50.0,1.2000000000000002,5,1,13.594736842105265
Pedro Neto,Chelsea,2.35,4.7,9.0,20.0,Pedro,Lomba Neto,MID,62.0,2.35,5,1,30.58684210526316
Eddie Nketiah,Crystal Palace,3.65,1.7000000000000002,7.0,12.8,Eddie,Nketiah,FWD,59.0,3.65,4,0,19.7
Christopher Nkunku,Chelsea,4.35,1.6,9.0,7.6,Christopher,Nkunku,MID,58.0,4.35,5,1,28.35
Darwin NÃºÃ±ez,Liverpool,10.25,3.9,17.0,16.2,,,,,10.25,4,0,52.7
Christian NÃ¸rgaard,Brentford,3.55,1.35,6.0,27.2,Christian,Nørgaard,MID,48.0,3.55,5,1,26.094736842105263
Wilson Odobert,Tottenham,1.7999999999999998,1.75,10.0,3.6,Wilson,Odobert,MID,53.0,1.7999999999999998,5,1,15.197368421052632
Chiedozie Ogbene,Ipswich Town,2.1,1.6500000000000001,3.0,5.2,Chiedozie,Ogbene,MID,49.0,2.1,5,1,15.860526315789473
Amadou Onana,Aston Villa,2.8,1.4500000000000002,16.0,20.0,Amadou,Onana,MID,49.0,2.8,5,1,26.771052631578947
Frank Onyeka,Brentford,1.1,0.9,6.0,0.6,Frank,Onyeka,MID,49.0,1.1,5,1,8.294736842105262
Dango Ouattara,Bournemouth,5.2,4.55,13.0,18.0,Dango,Ouattara,MID,50.0,5.2,5,1,45.8078947368421
Cole Palmer,Chelsea,13.850000000000001,12.149999999999999,9.0,34.8,Cole,Palmer,MID,113.0,18.6216,5,1,137.8001052631579
Cole Palmer,Chelsea,13.850000000000001,12.149999999999999,9.0,34.8,Cole,Palmer,MID,113.0,18.6216,5,1,137.8001052631579
Cole Palmer,Chelsea,8.3,6.6,9.0,34.8,Cole,Palmer,MID,113.0,13.0716,5,1,93.4001052631579
Cole Palmer,Chelsea,8.3,6.6,9.0,34.8,Cole,Palmer,MID,113.0,13.0716,5,1,93.4001052631579
Emerson Palmieri,West Ham,1.95,2.4,6.0,30.0,Emerson,Palmieri dos Santos,DEF,44.0,1.95,6,4,37.84736842105263
Lucas PaquetÃ¡,West Ham,3.9,4.4,6.0,28.6,,,,,3.9,4,0,28.8
Thomas Partey,Arsenal,1.4,1.45,22.0,29.2,Thomas,Partey,MID,50.0,1.4,5,1,28.25526315789474
Andreas Pereira,Fulham,4.4,5.85,13.0,25.6,Andreas,Hoelgebaum Pereira,MID,50.0,4.4,5,1,48.3078947368421
Ethan Pinnock,Brentford,1.9,1.7,6.0,32.0,Ethan,Pinnock,DEF,45.0,1.9,6,4,36.71052631578947
Pedro Porro,Tottenham,2.65,5.4,10.0,34.2,Pedro,Porro,DEF,55.0,2.65,6,4,68.1
Jacob Ramsey,Aston Villa,1.8,1.8,16.0,14.0,Jacob,Ramsey,MID,54.0,1.8,5,1,20.294736842105262
Marcus Rashford,Manchester Utd,4.6,3.25,11.0,21.8,Marcus,Rashford,MID,67.0,4.6,5,1,39.060526315789474
Bobby Reid,Leicester City,3.0,1.0,1.0,6.2,Bobby,Clark,MID,45.0,3.0,5,1,18.16315789473684
Declan Rice,Arsenal,2.8499999999999996,6.35,22.0,28.4,Declan,Rice,MID,62.0,2.8499999999999996,5,1,49.742105263157896
Richarlison,Tottenham,5.0,1.85,10.0,2.0,Richarlison,de Andrade,FWD,68.0,5.0,4,0,25.55
Andrew Robertson,Liverpool,1.45,5.1,17.0,28.6,Andrew,Robertson,DEF,59.0,1.45,6,4,75.17894736842106
Rodri,Manchester City,2.05,1.95,19.0,1.4,,,,,2.05,4,0,14.049999999999999
Morgan Rogers,Aston Villa,4.2,4.2,16.0,32.6,Morgan,Rogers,MID,54.0,4.2,5,1,47.32631578947368
Cristian Romero,Tottenham,2.85,0.7,10.0,21.6,Cristian,Romero,DEF,49.0,2.85,6,4,41.93684210526316
Bukayo Saka,Arsenal,8.8,11.05,22.0,28.2,Bukayo,Saka,MID,103.0,13.5716,5,1,117.33431578947369
Mohamed Salah,Liverpool,20.05,13.4,17.0,35.2,Mohamed,Salah,MID,135.0,24.8216,5,1,180.05536842105263
William Saliba,Arsenal,2.7,0.6,22.0,32.6,William,Saliba,DEF,63.0,2.7,6,4,93.49473684210527
Jadon Sancho,Chelsea,1.0,2.05,9.0,16.8,Jadon,Sancho,MID,62.0,1.0,5,1,15.128947368421052
Pablo Sarabia,Wolves,3.3499999999999996,3.35,7.0,4.0,Pablo,Sarabia,MID,50.0,6.2256,5,1,41.914842105263155
Kevin Schade,Brentford,4.2,1.4500000000000002,6.0,18.8,Kevin,Schade,MID,51.0,4.2,5,1,28.31842105263158
Fabian SchÃ¤r,Newcastle Utd,2.45,0.55,16.0,30.6,Fabian,Schär,DEF,54.0,2.45,6,4,67.88684210526316
Jeffrey Schlupp,Crystal Palace,1.1,1.25,7.0,2.2,Jeffrey,Schlupp,MID,47.0,1.1,5,1,9.655263157894737
NÃ©lson Semedo,Wolves,1.05,2.25,7.0,31.2,Nélson,Cabral Semedo,DEF,45.0,1.05,6,4,36.03947368421053
Antoine Semenyo,Bournemouth,8.2,4.7,13.0,34.8,Antoine,Semenyo,MID,56.0,8.2,5,1,67.00526315789475
Marcos Senesi,Bournemouth,1.8,1.25,13.0,20.4,Marcos,Senesi,DEF,47.0,1.8,6,4,42.46578947368421
Bernardo Silva,Manchester City,4.550000000000001,7.699999999999999,19.0,34.6,Fábio,Silva,FWD,50.0,4.550000000000001,4,0,41.3
Luis Sinisterra,Bournemouth,2.35,2.2,13.0,4.6,Luis,Sinisterra,MID,48.0,2.35,5,1,19.923684210526318
Emile Smith Rowe,Fulham,3.2,1.1,13.0,24.2,Emile,Smith Rowe,MID,54.0,3.2,5,1,27.578947368421055
Dominic Solanke,Tottenham,16.3,4.1,10.0,31.6,Dominic,Solanke-Mitchell,FWD,75.0,16.3,4,0,77.5
TomÃ¡Å¡ SouÄek,West Ham,6.15,1.45,6.0,27.8,Tomáš,Souček,MID,49.0,6.15,5,1,39.48947368421053
Raheem Sterling,Arsenal,3.75,2.45,22.0,3.2,Raheem,Sterling,MID,67.0,3.75,5,1,27.95263157894737
Dominik Szoboszlai,Liverpool,5.85,5.8,17.0,25.2,Dominik,Szoboszlai,MID,63.0,5.85,5,1,57.92368421052632
James Tarkowski,Everton,2.0,2.55,12.0,35.8,James,Tarkowski,DEF,48.0,2.0,6,4,64.87105263157895
Marcus Tavernier,Bournemouth,6.05,5.2,13.0,25.4,Marcus,Tavernier,MID,54.0,6.05,5,1,54.53947368421053
