,Player,npxG,matched_name,score,first_name,second_name,element_type,now_cost
118,Marc GuÃ©hi,1.6,marc guehi,78.26086956521739,Marc,Guéhi,DEF,45.0
119,Bruno GuimarÃ£es,4.4,bruno guimaraes rodriguez moura,62.5,Bruno,Guimarães Rodriguez Moura,MID,61.0
120,Malo Gusto,1.95,malo gusto,100.0,Malo,Gusto,DEF,49.0
121,JoÅ¡ko Gvardiol,3.95,josko gvardiol,89.65517241379311,Joško,Gvardiol,DEF,60.0
122,Erling Haaland,24.75,erling haaland,100.0,Erling,Haaland,FWD,148.0
124,Jack Harrison,4.0,jack harrison,100.0,Jack,Harrison,MID,52.0
125,Kai Havertz,13.6,kai havertz,100.0,Kai,Havertz,FWD,79.0
126,Jan Paul van Hecke,1.2,jan paul van hecke,100.0,Jan Paul,van Hecke,DEF,45.0
127,Hwang Hee-chan,4.05,hwang hee-chan,100.0,Hwang,Hee-chan,MID,61.0
129,Son Heung-min,8.9,son heung-min,100.0,Son,Heung-min,MID,98.0
131,Jack Hinshelwood,1.65,jack hinshelwood,100.0,Jack,Hinshelwood,MID,49.0
133,Callum Hudson-Odoi,2.75,callum hudson-odoi,100.0,Callum,Hudson-Odoi,MID,53.0
135,Rasmus HÃ¸jlund,5.699999999999999,rasmus hojlund,89.65517241379311,Rasmus,Højlund,FWD,69.0
137,Danny Ings,2.75,danny ings,100.0,Danny,Ings,FWD,50.0
139,Alexander Isak,17.3,alexander isak,100.0,Alexander,Isak,FWD,91.0
140,Alex Iwobi,3.05,alex iwobi,100.0,Alex,Iwobi,MID,58.0
141,Alex Iwobi,5.55,alex iwobi,100.0,Alex,Iwobi,MID,58.0
142,Nicolas Jackson,18.4,nicolas jackson,100.0,Nicolas,Jackson,FWD,83.0
144,Vitaly Janelt,1.5,vitaly janelt,100.0,Vitaly,Janelt,MID,49.0
147,Gabriel Jesus,4.85,gabriel fernando de jesus,68.42105263157895,Gabriel,Fernando de Jesus,FWD,68.0
148,RaÃºl JimÃ©nez,7.4,raul jimenez,71.42857142857143,Raúl,Jiménez,FWD,55.0
149,JoÃ£o Pedro,6.550000000000001,pedro lomba neto,64.28571428571428,Pedro,Lomba Neto,MID,62.0
150,Joelinton,4.15,john stones,60.0,John,Stones,DEF,53.0
152,Brennan Johnson,12.850000000000001,brennan johnson,100.0,Brennan,Johnson,MID,65.0
153,Brennan Johnson,7.8500000000000005,brennan johnson,100.0,Brennan,Johnson,MID,65.0
155,Curtis Jones,4.2,curtis jones,100.0,Curtis,Jones,MID,53.0
157,Diogo Jota,6.35,,,,,,
163,Max Kilman,2.3,max kilman,100.0,Max,Kilman,DEF,44.0
165,Justin Kluivert,5.4,justin kluivert,100.0,Justin,Kluivert,MID,55.0
166,Ibrahima KonatÃ©,1.15,ibrahima konate,84.84848484848484,Ibrahima,Konaté,DEF,51.0
167,Ezri Konsa,1.85,ezri konsa ngoyo,76.92307692307692,Ezri,Konsa Ngoyo,DEF,44.0
168,Mateo KovaÄiÄ,1.75,mateo kovacic,84.61538461538461,Mateo,Kovačić,MID,54.0
170,Mohammed Kudus,6.15,mohammed kudus,100.0,Mohammed,Kudus,MID,62.0
171,Dejan Kulusevski,5.35,dejan kulusevski,100.0,Dejan,Kulusevski,MID,64.0
175,Mario Lemina,3.6999999999999997,mario lemina,100.0,Mario,Lemina,MID,50.0
177,Jefferson Lerma,1.9500000000000002,jefferson lerma solis,83.33333333333334,Jefferson,Lerma Solís,MID,48.0
178,Rico Lewis,1.4000000000000001,rico lewis,100.0,Rico,Lewis,DEF,46.0
179,Keane Lewis-Potter,4.55,keane lewis-potter,100.0,Keane,Lewis-Potter,MID,50.0
182,Sean Longstaff,3.9,sean longstaff,100.0,Sean,Longstaff,MID,47.0
185,Alexis Mac Allister,2.45,alexis mac allister,100.0,Alexis,Mac Allister,MID,62.0
186,James Maddison,7.9,james maddison,100.0,James,Maddison,MID,77.0
187,Noni Madueke,5.85,noni madueke,100.0,Noni,Madueke,MID,63.0
188,Gabriel MagalhÃ£es,4.449999999999999,gabriel dos santos magalhaes,72.34042553191489,Gabriel,dos Santos Magalhães,DEF,63.0
189,Harry Maguire,1.1,harry maguire,100.0,Harry,Maguire,DEF,49.0
191,Orel Mangala,1.1,orel mangala,100.0,Orel,Mangala,MID,50.0
192,Solly March,1.1,solly march,100.0,Solly,March,MID,65.0
193,Gabriel Martinelli,6.4,gabriel martinelli silva,85.71428571428572,Gabriel,Martinelli Silva,MID,68.0
195,Lisandro MartÃ­nez,1.1,lisandro martinez,94.11764705882352,Lisandro,Martínez,DEF,44.0
196,Pape Matar Sarr,3.7,pape matar sarr,100.0,Pape Matar,Sarr,MID,48.0
197,Jean-Philippe Mateta,9.2,jean-philippe mateta,100.0,Jean-Philippe,Mateta,FWD,72.0
198,Konstantinos Mavropanos,1.5,konstantinos mavropanos,100.0,Konstantinos,Mavropanos,DEF,44.0
199,Bryan Mbeumo,7.0,bryan mbeumo,100.0,Bryan,Mbeumo,MID,76.0
200,James Mcatee,1.15,james mcatee,100.0,James,McAtee,MID,46.0
202,John McGinn,4.3,john mcginn,100.0,John,McGinn,MID,52.0
203,Dwight McNeil,2.6,dwight mcneil,100.0,Dwight,McNeil,MID,52.0
204,Scott McTominay,2.95,scott mctominay,100.0,Scott,McTominay,MID,49.0
209,Tyrick Mitchell,1.1,tyrick mitchell,100.0,Tyrick,Mitchell,DEF,48.0
210,Kaoru Mitoma,5.75,mitoma kaoru,100.0,Mitoma,Kaoru,MID,65.0
215,Mykhailo Mudryk,2.5,mykhailo mudryk,100.0,Mykhailo,Mudryk,MID,62.0
216,Rodrigo Muniz,6.75,rodrigo muniz carvalho,74.28571428571429,Rodrigo,Muniz Carvalho,FWD,55.0
217,Daniel MuÃ±oz,4.0,daniel munoz,84.61538461538461,Daniel,Muñoz,DEF,47.0
219,Murillo,1.9,,,,,,
220,Jacob Murphy,3.3499999999999996,jacob murphy,100.0,Jacob,Murphy,MID,50.0
221,Vitaliy Mykolenko,1.05,vitalii mykolenko,94.11764705882352,Vitalii,Mykolenko,DEF,43.0
223,Reiss Nelson,1.2000000000000002,reiss nelson,100.0,Reiss,Nelson,MID,50.0
225,Pedro Neto,2.35,pedro lomba neto,76.92307692307692,Pedro,Lomba Neto,MID,62.0
226,Eddie Nketiah,3.65,eddie nketiah,100.0,Eddie,Nketiah,FWD,59.0
227,Christopher Nkunku,4.35,christopher nkunku,100.0,Christopher,Nkunku,MID,58.0
230,Darwin NÃºÃ±ez,10.25,,,,,,
232,Christian NÃ¸rgaard,3.55,christian norgaard,91.89189189189189,Christian,Nørgaard,MID,48.0
234,Wilson Odobert,1.7999999999999998,wilson odobert,100.0,Wilson,Odobert,MID,53.0
235,Chiedozie Ogbene,2.1,chiedozie ogbene,100.0,Chiedozie,Ogbene,MID,49.0
237,Amadou Onana,2.8,amadou onana,100.0,Amadou,Onana,MID,49.0
239,Frank Onyeka,1.1,frank onyeka,100.0,Frank,Onyeka,MID,49.0
242,Dango Ouattara,5.2,dango ouattara,100.0,Dango,Ouattara,MID,50.0
243,Cole Palmer,13.850000000000001,cole palmer,100.0,Cole,Palmer,MID,113.0
244,Cole Palmer,8.3,cole palmer,100.0,Cole,Palmer,MID,113.0
245,Emerson Palmieri,1.95,emerson palmieri dos santos,74.4186046511628,Emerson,Palmieri dos Santos,DEF,44.0
246,Lucas PaquetÃ¡,3.9,,,,,,
247,Thomas Partey,1.4,thomas partey,100.0,Thomas,Partey,MID,50.0
