Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
51,Donny van de Beek,nl NED,DF,Manchester Utd,26,1997,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,1
52,Amari'i Bell,jm JAM,DF,Luton Town,29,1994,21,21,1720,19.1,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,32,76,10
53,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,25,1998,22,10,958,10.6,2,1,3,2,0,0,0,1,1.6,1.6,1,2.5,30,39,49
54,Anis Ben Slimane,tn TUN,MF,Sheffield Utd,22,2001,15,4,419,4.7,0,0,0,0,0,0,2,0,0.8,0.8,0.3,1.1,3,12,21
55,SaÃ¯d Benrahma,dz ALG,"FW,MF",West Ham,27,1995,13,5,620,6.9,0,1,1,0,0,1,1,0,1.8,1,1.4,2.5,28,28,70
56,Rodrigo Bentancur,uy URU,MF,Tottenham,26,1997,23,13,1005,11.2,1,1,2,1,0,0,7,0,1.9,1.9,0.5,2.4,16,72,31
57,Daniel Bentley,eng ENG,GK,Wolves,30,1993,5,3,383,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,JÃ³hann Berg GuÃ°mundsson,is ISL,"MF,FW",Burnley,32,1990,26,12,1192,13.2,1,3,4,1,0,0,2,0,1.9,1.9,2.7,4.5,13,59,69
59,Sander Berge,no NOR,MF,Burnley,25,1998,37,34,3005,33.4,1,2,3,1,0,0,10,1,1.9,1.9,2.4,4.3,64,164,29
