id,text,created_at,edit_history_tweet_ids
1809738519470043315,"Colombia 5 : 0 Panama

▪ xG: 2.25 - 0.61
▪ xThreat: 1.15 - 1.03
▪ Possession: 52.1% - 47.9%
▪ Field Tilt: 40.9% - 59.1%
▪ Def Action Height: 50.6 - 50.1 https://t.co/LXGyiGTkHO",2024-07-06T23:57:41.000Z,['1809738519470043315']
1809695682296696928,"Stefan de Vrij vs. Turkiye

Successful Passes: 77
Expected Threat: 0.12
Progression via pass: 5.58
Progression via carry: 2.59 https://t.co/YpaKAeXbAC",2024-07-06T21:07:27.000Z,['1809695682296696928']
1809695669034315950,"Netherlands 2 : 1 Turkiye

▪ Pass directness: 28.6 - 26.4
▪ 10+ pass sequences: 22 - 12
▪ Goalkick length: 36.3 - 31.6
▪ Goalkick progr.: 32.0 - 23.8 https://t.co/CI8rL6jUqD",2024-07-06T21:07:24.000Z,['1809695669034315950']
1809695627615564125,"Netherlands 2 : 1 Turkiye

▪ Penbox shots: 7 - 9
▪ Deep completions: 8 - 7
▪ Buildup completion: 89.5% - 81.2%
▪ PPDA: 10.3 - 11.7
▪ High turnovers: 7 - 2 https://t.co/ArANsvV8Zv",2024-07-06T21:07:14.000Z,['1809695627615564125']
1809695588512108983,"Netherlands 2 : 1 Turkiye

▪ xG: 0.92 - 1.69
▪ xThreat: 1.52 - 1.21
▪ Possession: 59.1% - 40.9%
▪ Field Tilt: 71.9% - 28.1%
▪ Def Action Height: 46.8 - 41.8 https://t.co/3XCYGXMFJd",2024-07-06T21:07:05.000Z,['1809695588512108983']
1809656085411938551,"Bukayo Saka vs. Switzerland

Successful Passes: 48
Expected Threat: 0.4
Progression via pass: 5.03
Progression via carry: 4.59 https://t.co/ghaqzuIFL4",2024-07-06T18:30:07.000Z,['1809656085411938551']
1809656074594890142,"England 1 : 1 Switzerland

▪ Pass directness: 24.8 - 26.8
▪ 10+ pass sequences: 25 - 26
▪ Goalkick length: 56.3 - 13.1
▪ Goalkick progr.: 50.2 - 43.8 https://t.co/Zy1DFPjncn",2024-07-06T18:30:04.000Z,['1809656074594890142']
1809656030068109689,"England 1 : 1 Switzerland

▪ Penbox shots: 7 - 10
▪ Deep completions: 11 - 12
▪ Buildup completion: 92.1% - 91.8%
▪ PPDA: 11.6 - 11.9
▪ High turnovers: 6 - 2 https://t.co/aTC5DqRmA1",2024-07-06T18:29:54.000Z,['1809656030068109689']
1809655982898979203,"England 1 : 1 Switzerland

▪ xG: 0.43 - 1.07
▪ xThreat: 1.58 - 1.33
▪ Possession: 52.1% - 47.9%
▪ Field Tilt: 62.8% - 37.2%
▪ Def Action Height: 44.9 - 51.5 https://t.co/6yYpoPRnJa",2024-07-06T18:29:42.000Z,['1809655982898979203']
1809422326200693246,"Venezuela 1 : 1 Canada

▪ xG: 0.7 - 1.65
▪ xThreat: 1.41 - 0.86
▪ Possession: 55.4% - 44.6%
▪ Field Tilt: 58.4% - 41.6%
▪ Def Action Height: 45.6 - 38.3 https://t.co/eQxMsO4tx5",2024-07-06T03:01:14.000Z,['1809422326200693246']
1809339672277184563,"Aurélien Tchouaméni vs. Portugal

Successful Passes: 82
Expected Threat: 0.27
Progression via pass: 9.05
Progression via carry: 2.67 https://t.co/Up8U7k9rFS",2024-07-05T21:32:48.000Z,['1809339672277184563']
1809339659258065353,"Portugal 0 : 0 France

▪ Pass directness: 24.5 - 30.4
▪ 10+ pass sequences: 42 - 28
▪ Goalkick length: 19.3 - 22.7
▪ Goalkick progr.: 72.6 - 60.1 https://t.co/pYwXhdQzqR",2024-07-05T21:32:45.000Z,['1809339659258065353']
1809339616245477487,"Portugal 0 : 0 France

▪ Penbox shots: 11 - 7
▪ Deep completions: 8 - 12
▪ Buildup completion: 95.3% - 93.4%
▪ PPDA: 11.9 - 22.1
▪ High turnovers: 5 - 4 https://t.co/1RWhSX1RiD",2024-07-05T21:32:35.000Z,['1809339616245477487']
1809339567461527908,"Portugal 0 : 0 France

▪ xG: 2.29 - 1.29
▪ xThreat: 1.63 - 1.49
▪ Possession: 60.0% - 40.0%
▪ Field Tilt: 48.9% - 51.1%
▪ Def Action Height: 37.7 - 40.2 https://t.co/PnCBrKn2U0",2024-07-05T21:32:23.000Z,['1809339567461527908']
1809285890084335998,"Antonio Rüdiger vs. Spain

Successful Passes: 54
Expected Threat: 0.4
Progression via pass: 7.08
Progression via carry: 2.96 https://t.co/81utkY8ZQc",2024-07-05T17:59:05.000Z,['1809285890084335998']
1809285869733572841,"Spain 1 : 1 Germany

▪ Pass directness: 31.8 - 35.1
▪ 10+ pass sequences: 14 - 17
▪ Goalkick length: 33.3 - 27.3
▪ Goalkick progr.: 38.8 - 33.8 https://t.co/RSIjcKXy4E",2024-07-05T17:59:00.000Z,['1809285869733572841']
1809285814737858848,"Spain 1 : 1 Germany

▪ Penbox shots: 2 - 10
▪ Deep completions: 7 - 21
▪ Buildup completion: 86.4% - 87.5%
▪ PPDA: 8.9 - 8.1
▪ High turnovers: 8 - 3 https://t.co/Ct8jKRj4iK",2024-07-05T17:58:47.000Z,['1809285814737858848']
1809285771813322848,"Spain 1 : 1 Germany

▪ xG: 1.18 - 2.44
▪ xThreat: 1.01 - 2.2
▪ Possession: 46.5% - 53.5%
▪ Field Tilt: 40.4% - 59.6%
▪ Def Action Height: 45.9 - 43.5 https://t.co/wHz7wQVG4e",2024-07-05T17:58:37.000Z,['1809285771813322848']
1809062614607278475,"Cristian Romero vs. Ecuador

Successful Passes: 63
Expected Threat: 0.09
Progression via pass: 4.67
Progression via carry: 1.72 https://t.co/3L5o4sSb1X",2024-07-05T03:11:52.000Z,['1809062614607278475']
