published_at,content
2024-07-05 21:32:35+00,Portugal 0 : 0 France  ▪ Penbox shots: 11 - 7 ▪ Deep completions: 8 - 12 ▪ Buildup completion: 95.3% - 93.4% ▪ PPDA: 11.9 - 22.1 ▪ High turnovers: 5 - 4 https://t.co/1RWhSX1RiD
2024-07-05 17:58:37+00,Spain 1 : 1 Germany  ▪ xG: 1.18 - 2.44 ▪ xThreat: 1.01 - 2.2 ▪ Possession: 46.5% - 53.5% ▪ Field Tilt: 40.4% - 59.6% ▪ Def Action Height: 45.9 - 43.5 https://t.co/wHz7wQVG4e
2024-07-05 17:59:00+00,Spain 1 : 1 Germany  ▪ Pass directness: 31.8 - 35.1 ▪ 10+ pass sequences: 14 - 17 ▪ Goalkick length: 33.3 - 27.3 ▪ Goalkick progr.: 38.8 - 33.8 https://t.co/RSIjcKXy4E
2024-07-05 17:59:05+00,Antonio Rüdiger vs. Spain  Successful Passes: 54 Expected Threat: 0.4 Progression via pass: 7.08 Progression via carry: 2.96 https://t.co/81utkY8ZQc
2024-07-05 03:11:31+00,Argentina 1 : 1 Ecuador  ▪ xG: 0.67 - 1.6 ▪ xThreat: 1.21 - 0.95 ▪ Possession: 50.7% - 49.3% ▪ Field Tilt: 58.5% - 41.5% ▪ Def Action Height: 49.4 - 43.5 https://t.co/sZEuoiIy5e
2024-07-05 03:11:49+00,Argentina 1 : 1 Ecuador  ▪ Pass directness: 27.6 - 29.7 ▪ 10+ pass sequences: 11 - 8 ▪ Goalkick length: 54.7 - 24.0 ▪ Goalkick progr.: 38.1 - 32.3 https://t.co/2O0F0b8RuN
2024-07-05 03:11:52+00,Cristian Romero vs. Ecuador  Successful Passes: 63 Expected Threat: 0.09 Progression via pass: 4.67 Progression via carry: 1.72 https://t.co/3L5o4sSb1X
2024-07-03 03:09:13+00,Costa Rica 2 : 1 Paraguay  ▪ xG: 0.67 - 1.19 ▪ xThreat: 0.61 - 1.5 ▪ Possession: 33.2% - 66.8% ▪ Field Tilt: 13.0% - 87.0% ▪ Def Action Height: 35.7 - 51.7 https://t.co/IHMWCcmYVk
2024-07-03 03:08:24+00,Brazil 1 : 1 Colombia  ▪ xG: 0.21 - 1.77 ▪ xThreat: 0.75 - 1.4 ▪ Possession: 50.5% - 49.5% ▪ Field Tilt: 45.8% - 54.2% ▪ Def Action Height: 41.5 - 52.2 https://t.co/ObBPXPzYFH
2024-07-03 03:08:43+00,Brazil 1 : 1 Colombia  ▪ Pass directness: 33.1 - 28.1 ▪ 10+ pass sequences: 14 - 12 ▪ Goalkick length: 17.2 - 65.1 ▪ Goalkick progr.: 41.8 - 23.5 https://t.co/ekseJlaAIM
2024-07-03 03:08:46+00,Davinson Sánchez vs. Brazil  Successful Passes: 37 Expected Threat: 0.1 Progression via pass: 3.91 Progression via carry: 1.19 https://t.co/lkZ6lqsjCA
2024-07-02 21:02:54+00,Austria 1 : 2 Turkiye  ▪ xG: 2.62 - 1.34 ▪ xThreat: 3.12 - 1.12 ▪ Possession: 60.3% - 39.7% ▪ Field Tilt: 83.7% - 16.3% ▪ Def Action Height: 42.1 - 41.7 https://t.co/HMXIhfYs9l
2024-07-02 17:59:27+00,Romania 0 : 3 Netherlands  ▪ xG: 0.36 - 3.05 ▪ xThreat: 0.56 - 2.24 ▪ Possession: 35.1% - 64.9% ▪ Field Tilt: 34.4% - 65.6% ▪ Def Action Height: 30.0 - 46.1 https://t.co/ojVIoZMKjV
2024-07-02 17:59:45+00,Romania 0 : 3 Netherlands  ▪ Pass directness: 33.2 - 32.9 ▪ 10+ pass sequences: 2 - 23 ▪ Goalkick length: 45.4 - 24.9 ▪ Goalkick progr.: 30.3 - 79.9 https://t.co/rK5c3JEocl
2024-07-02 17:59:48+00,Stefan de Vrij vs. Romania  Successful Passes: 68 Expected Threat: 0.27 Progression via pass: 8.5 Progression via carry: 2.39 https://t.co/FM8QD2dElD
2024-07-02 17:59:36+00,Romania 0 : 3 Netherlands  ▪ Penbox shots: 2 - 17 ▪ Deep completions: 3 - 19 ▪ Buildup completion: 77.2% - 90.5% ▪ PPDA: 20.6 - 9.3 ▪ High turnovers: 2 - 7 https://t.co/eykV7YmHKJ
2024-07-02 03:12:33+00,USA 0 : 1 Uruguay  ▪ xG: 0.45 - 1.59 ▪ xThreat: 1.01 - 0.78 ▪ Possession: 51.3% - 48.7% ▪ Field Tilt: 54.7% - 45.3% ▪ Def Action Height: 52.1 - 40.8 https://t.co/CEqaUM1VJt
2024-07-02 02:58:54+00,Bolivia 1 : 3 Panama  ▪ xG: 0.98 - 1.69 ▪ xThreat: 0.89 - 1.29 ▪ Possession: 51.4% - 48.6% ▪ Field Tilt: 30.5% - 69.5% ▪ Def Action Height: 37.2 - 51.1 https://t.co/PkeBGSG7lX
2024-07-01 21:45:17+00,Portugal 0 : 0 Slovenia  ▪ xG: 1.95 - 0.47 ▪ xThreat: 2.27 - 0.73 ▪ Possession: 70.8% - 29.2% ▪ Field Tilt: 76.9% - 23.1% ▪ Def Action Height: 48.7 - 35.1 https://t.co/Daypj19NND
2024-07-01 21:45:39+00,Portugal 0 : 0 Slovenia  ▪ Pass directness: 26.6 - 45.1 ▪ 10+ pass sequences: 34 - 2 ▪ Goalkick length: 23.1 - 46.2 ▪ Goalkick progr.: 78.2 - 31.1 https://t.co/jDltofkkR5
2024-07-01 21:45:43+00,Nuno Mendes vs. Slovenia  Successful Passes: 95 Expected Threat: 0.21 Progression via pass: 7.59 Progression via carry: 4.92 https://t.co/RwkHoIAcTw
2024-07-01 18:02:18+00,France 1 : 0 Belgium  ▪ xG: 1.74 - 0.28 ▪ xThreat: 1.9 - 0.64 ▪ Possession: 54.9% - 45.1% ▪ Field Tilt: 75.8% - 24.2% ▪ Def Action Height: 47.1 - 36.2 https://t.co/dGSk1Rr0AS
2024-07-01 18:02:38+00,France 1 : 0 Belgium  ▪ Pass directness: 29.9 - 24.7 ▪ 10+ pass sequences: 26 - 22 ▪ Goalkick length: 37.3 - 16.3 ▪ Goalkick progr.: 37.9 - 55.0 https://t.co/DohXJDQJIU
2024-07-01 18:02:42+00,Aurélien Tchouaméni vs. Belgium  Successful Passes: 91 Expected Threat: 0.41 Progression via pass: 10.15 Progression via carry: 3.37 https://t.co/xWgMwW3wM5
2024-07-01 02:07:50+00,Mexico 0 : 0 Ecuador  ▪ xG: 1.23 - 0.39 ▪ xThreat: 1.55 - 0.67 ▪ Possession: 59.3% - 40.7% ▪ Field Tilt: 69.4% - 30.6% ▪ Def Action Height: 45.9 - 41.5 https://t.co/WKI3WjBon9
2024-07-01 01:54:26+00,Jamaica 0 : 3 Venezuela  ▪ xG: 0.31 - 1.79 ▪ xThreat: 1.06 - 1.46 ▪ Possession: 47.3% - 52.7% ▪ Field Tilt: 30.9% - 69.1% ▪ Def Action Height: 34.6 - 51.7 https://t.co/pXU7GAIWKz
2024-06-30 21:06:30+00,Spain 4 : 1 Georgia  ▪ xG: 3.48 - 0.15 ▪ xThreat: 2.68 - 0.32 ▪ Possession: 75.0% - 25.0% ▪ Field Tilt: 95.6% - 4.4% ▪ Def Action Height: 58.8 - 30.3 https://t.co/pzeboSwFZd
2024-06-30 21:06:51+00,Spain 4 : 1 Georgia  ▪ Pass directness: 26.8 - 37.6 ▪ 10+ pass sequences: 38 - 6 ▪ Goalkick length: 22.8 - 39.0 ▪ Goalkick progr.: 87.2 - 37.3 https://t.co/w3FcktdjYK
2024-06-30 21:06:53+00,Lamine Yamal vs. Georgia  Successful Passes: 54 Expected Threat: 0.76 Progression via pass: 5.24 Progression via carry: 6.75 https://t.co/0utpPEedUa
2024-06-30 18:40:25+00,England 2 : 1 Slovakia  ▪ xG: 1.72 - 2.19 ▪ xThreat: 1.92 - 1.46 ▪ Possession: 63.1% - 36.9% ▪ Field Tilt: 67.1% - 32.9% ▪ Def Action Height: 53.3 - 35.9 https://t.co/D6ia4HCRao
2024-06-30 18:40:56+00,England 2 : 1 Slovakia  ▪ Pass directness: 25.2 - 31.0 ▪ 10+ pass sequences: 36 - 15 ▪ Goalkick length: 44.4 - 40.3 ▪ Goalkick progr.: 46.4 - 50.3 https://t.co/ZEAlxfZtn4
2024-06-30 18:41:01+00,Norbert Gyömbér vs. England  Successful Passes: 35 Expected Threat: 0.18 Progression via pass: 3.89 Progression via carry: 2.82 https://t.co/pxmJpaNlOj
2024-06-30 18:40:39+00,England 2 : 1 Slovakia  ▪ Penbox shots: 8 - 8 ▪ Deep completions: 16 - 12 ▪ Buildup completion: 88.7% - 77.9% ▪ PPDA: 8.5 - 18.1 ▪ High turnovers: 5 - 2 https://t.co/fKxdO0n8xc
2024-06-30 02:15:34+00,Canada 0 : 0 Chile  ▪ xG: 1.3 - 0.43 ▪ xThreat: 1.18 - 1.11 ▪ Possession: 56.1% - 43.9% ▪ Field Tilt: 53.5% - 46.5% ▪ Def Action Height: 40.7 - 46.3 https://t.co/etSdgyWysn
2024-06-30 02:01:53+00,Argentina 2 : 0 Peru  ▪ xG: 2.37 - 0.15 ▪ xThreat: 1.23 - 0.77 ▪ Possession: 72.7% - 27.3% ▪ Field Tilt: 52.6% - 47.4% ▪ Def Action Height: 48.2 - 43.3 https://t.co/hER1CIxLkK
