Home Team,Home Score,Away Score,Away Team,Home xG,Away xG,Home xThreat,Away xThreat,Home Pass directness,Away Pass directness,Home Penbox shots,Away Penbox shots,Home Possession,Away Possession,Home Field Tilt,Away Field Tilt,Home Def Action Height,Away Def Action Height,Home 10+ Pass Sequences,Away 10+ Pass Sequences,Home Goal Kick Length,Away Goal Kick Length,Home Goal Kick Progression,Away Goal Kick Progression
Torino,3.0,1.0,Milan,1.0,1.56,0.95,1.52,28.7,32.7,5.0,12.0,40.2,59.8,42.2,57.8,43.9,52.6,5.0,19.0,72.2,17.1,18.8,54.1
Turkiye,0.0,3.0,Portugal,0.68,1.86,1.09,1.43,32.2,27.6,,,43.1,56.9,54.9,45.1,42.7,47.1,11.0,19.0,11.4,14.8,40.6,44.7
Turkiye,3.0,1.0,Georgia,3.17,1.69,1.81,1.32,,,,,55.6,44.4,63.8,36.2,42.6,35.0,,,,,,
USA,0.0,1.0,Uruguay,0.45,1.59,1.01,0.78,,,,,51.3,48.7,54.7,45.3,52.1,40.8,,,,,,
USA,2.0,0.0,Bolivia,2.26,0.49,1.72,0.47,,,,,59.8,40.2,77.8,22.2,47.5,40.1,,,,,,
Udinese,1.0,2.0,Inter,0.09,3.4,0.56,2.52,34.0,29.2,,,23.7,76.3,15.0,85.0,40.8,54.0,1.0,34.0,67.8,28.3,25.9,53.0
Ukraine,0.0,0.0,Belgium,0.66,1.0,1.18,0.94,30.8,25.4,,,40.4,59.6,25.2,74.8,39.5,49.9,12.0,26.0,28.7,39.4,62.1,45.3
Union,0.0,1.0,Leverkusen,0.55,3.05,1.13,2.23,33.4,28.0,,,34.6,65.4,27.9,72.1,39.5,50.2,7.0,33.0,37.1,26.7,33.9,62.9
Union,1.0,5.0,Bayern,1.05,1.41,1.56,1.99,34.4,29.1,,,36.7,63.3,30.5,69.5,43.4,50.8,11.0,31.0,21.4,13.4,43.0,68.2
Uruguay,0.0,0.0,Brazil,1.02,1.08,1.14,0.75,32.3,32.2,,,40.5,59.5,60.7,39.3,50.9,45.9,4.0,6.0,64.6,18.0,45.0,31.0
Uruguay,0.0,1.0,Colombia,0.89,1.64,1.65,1.27,,,,,61.1,38.9,69.3,30.7,38.2,45.6,,,,,,
Uruguay,3.0,1.0,Panama,1.46,0.72,2.24,0.95,,,,,54.8,45.2,61.1,38.9,48.8,41.8,,,,,,
Uruguay,5.0,0.0,Bolivia,2.92,0.07,2.11,0.65,,,,,59.5,40.5,81.2,18.8,57.2,34.9,,,,,,
Venezuela,1.0,0.0,Mexico,1.23,2.93,0.69,1.49,,,,,39.3,60.7,25.2,74.8,37.3,50.1,,,,,,
Venezuela,1.0,1.0,Canada,0.7,1.65,1.41,0.86,,,,,55.4,44.6,58.4,41.6,45.6,38.3,,,,,,
Verona,2.0,2.0,Inter,1.17,2.86,1.32,1.27,31.7,29.1,,,35.0,65.0,60.6,39.4,61.5,42.3,6.0,21.0,57.7,14.6,26.8,51.7
Villarreal,4.0,4.0,Real Madrid,2.6,1.69,2.13,1.49,32.1,28.4,17.0,8.0,43.0,57.0,55.2,44.8,55.7,39.2,23.0,28.0,23.8,21.7,56.6,54.5
West Ham,0.0,2.0,Fulham,1.57,3.28,1.68,1.73,,,,,58.0,42.0,70.3,29.7,48.3,42.0,,,,,,
West Ham,1.0,1.0,Leverkusen,1.66,0.76,1.5,1.0,29.7,30.7,10.0,5.0,42.9,57.1,46.4,53.6,50.0,42.3,13.0,17.0,21.5,31.3,59.2,17.7
West Ham,1.0,1.0,Spurs,1.57,1.5,1.79,1.65,36.3,32.7,5.0,10.0,33.2,66.8,26.2,73.8,44.7,46.4,10.0,28.0,45.6,17.8,15.1,64.7
West Ham,2.0,2.0,Liverpool,0.86,2.25,1.12,2.42,34.7,31.4,,,29.2,70.8,21.1,78.9,38.6,46.2,5.0,26.0,48.0,12.8,33.0,36.1
West Ham,3.0,1.0,Luton,3.03,0.45,1.79,1.2,,,,,58.2,41.8,62.4,37.6,44.5,47.1,,,,,,
Wolves,0.0,1.0,Bournemouth,0.69,2.13,1.52,1.39,,,,,62.5,37.5,55.2,44.8,35.6,49.1,,,,,,
Wolves,0.0,2.0,Arsenal,0.14,1.39,0.5,1.61,26.4,31.7,,,45.3,54.7,17.5,82.5,37.6,58.8,14.0,18.0,45.5,29.8,16.9,35.3
Wolves,1.0,2.0,West Ham,1.69,1.8,1.5,1.08,,,,,57.3,42.7,47.9,52.1,40.7,55.2,,,,,,
Wolves,1.0,3.0,C,1.19,2.21,1.6,1.42,,,,,61.5,38.5,65.6,34.4,50.7,44.3,,,,,,
